00001,500
00002,500
00003,1000
00004,1000
00005,400
00006,500
00007,2000
00008,1000
00009,6000
00010,1000
00011,100
00012,1000
00014,1000
00015,2000
00016,1000
00017,1000
00018,2000
00019,500
00020,1000
00021,5000
00022,40000
00023,200
00024,2000
00025,2000
00026,200
00027,1000
00028,1000
00029,2000
00030,2000
00031,2000
00032,1000
00033,2000
00034,1000
00035,1000
00036,3000
00037,2000
00038,2000
00039,2000
00040,1000
00041,1000
00042,2000
00043,2000
00044,400
00045,500
00046,2000
00047,4000
00048,10000
00050,1000
00051,1000
00052,500
00053,1000
00054,500
00055,20000
00056,2000
00057,2000
00058,2000
00059,2000
00060,2000
00061,5000
00062,400
00063,1000
00064,2000
00065,4000
00066,500
00067,2000
00068,1000
00069,2000
00070,10000
00071,1000
00072,2000
00073,1000
00075,2000
00076,4000
00077,2000
00078,2000
00079,4000
00081,1000
00082,2000
00083,2000
00084,1000
00085,2000
00086,1000
00087,2500
00088,1000
00089,1000
00090,2000
00091,50000
00092,2000
00093,2000
00094,2000
00095,4000
00096,2000
00097,1000
00098,1000
00099,1000
00100,1000
00101,1000
00102,2000
00103,2000
00104,5000
00105,2000
00106,4000
00107,2000
00108,2000
00109,10000
00110,2000
00111,2000
00112,2000
00113,500
00114,5000
00115,10000
00116,1000
00117,2000
00118,2000
00119,1000
00120,20000
00121,10000
00122,1000
00123,2000
00124,2000
00125,2000
00126,2000
00127,500
00128,4000
00129,2000
00130,2000
00131,1000
00132,1000
00135,2000
00136,4000
00137,1000
00138,2000
00139,14000
00141,2000
00142,2000
00143,2000
00144,2000
00145,8000
00146,1000
00147,5000
00148,500
00149,5000
00151,1000
00152,500
00153,2000
00154,1000
00155,10000
00156,10000
00157,10000
00158,500
00159,4000
00160,2000
00161,2000
00162,2000
00163,2000
00164,25000
00165,2000
00166,2000
00167,2000
00168,2000
00169,1000
00171,2000
00172,10000
00173,1000
00174,2000
00175,5000
00176,2000
00177,2000
00178,2000
00179,500
00180,2000
00181,20000
00182,10000
00183,8000
00184,2000
00185,10000
00186,2000
00187,2000
00188,10000
00189,1000
00190,1000
00191,1000
00193,15000
00194,2000
00195,10000
00196,1000
00197,5000
00198,4000
00199,1000
00200,1000
00201,2000
00202,5000
00205,2000
00206,1000
00207,2000
00208,5000
00209,4000
00210,2000
00211,10000
00212,500
00213,2000
00214,2000
00215,2000
00216,4000
00217,2000
00218,5000
00219,2000
00220,1000
00221,20000
00222,2000
00223,2000
00224,4000
00225,2000
00226,1000
00227,8000
00228,2000
00229,1000
00230,2000
00231,20000
00232,2000
00233,10000
00234,8000
00235,5000
00236,2000
00237,2000
00238,1000
00239,2500
00240,10000
00241,2000
00242,2000
00243,1000
00244,1000
00245,40000
00246,500
00247,2000
00248,4000
00250,10000
00251,2000
00252,2000
00253,2000
00254,10000
00255,2000
00256,2000
00257,1000
00258,2000
00259,2000
00260,10000
00261,80000
00262,5000
00263,4000
00264,4000
00265,5000
00266,2000
00267,1000
00268,2000
00269,100000
00270,2000
00271,1000
00272,500
00273,20000
00274,2000
00275,10000
00276,3000
00277,2000
00278,2000
00279,20000
00280,2000
00281,2000
00282,2000
00283,2000
00285,500
00286,2000
00287,2000
00288,500
00289,1000
00290,2000
00291,2000
00292,10000
00293,1000
00294,1000
00295,25000
00296,5000
00297,2000
00298,10000
00299,2000
00300,2000
00303,100
00305,10000
00306,2000
00307,2000
00308,2000
00309,1000
00311,1000
00312,2000
00313,50000
00315,500
00316,500
00317,2000
00318,5000
00319,2000
00320,2000
00321,2000
00322,2000
00323,2000
00326,50000
00327,1000
00328,2000
00329,4000
00330,100
00332,4000
00333,2000
00334,8000
00335,2000
00336,1000
00337,1000
00338,2000
00340,2000
00341,2000
00342,2000
00343,5000
